Code,Branch / Collection Label,Research/Branch,Actual Location
whj0a,Washington Heights Children's Easy Book,,
whj0f,Washington Heights Children's Fiction,,
whj0h,Washington Heights Children's Holiday Book,,
whj0i,Washington Heights Children's Picture Book,,
whj0l,Washington Heights Children's World Languages,,
whj0n,Washington Heights Children's Non-Fiction,,
whj0t,Washington Heights Children's Fairy Tale,,
whj0v,Washington Heights Children's Non-Print Media,,
whj0y,Washington Heights Children's Young Reader,,
whjr,Washington Heights Children's Reference,,
why,Washington Heights Young Adult,,
why01,Washington Heights YA Reference,,
why0f,Washington Heights YA Fiction,,
why0l,Washington Heights YA World Languages,,
why0n,Washington Heights YA Non-Fiction,,
why0v,Washington Heights YA Non-Print Media,,
whyr,Washington Heights Young Adult Reference,,
whzzz,Washington Heights,,
wk,Wakefield,,
wka,Wakefield Adult,,
wka01,Wakefield Reference,,
wka03,Wakefield Closed Shelf Reference,,
wka0f,Wakefield Fiction,,
wka0l,Wakefield World Languages,,
wka0n,Wakefield Non-Fiction,,
wka0v,Wakefield Non-Print Media,,
wka0w,Wakefield Center for Reading & Writing,,
wkar,Wakefield Adult Reference,,
wkj,Wakefield Children,,
wkj01,Wakefield Children's Reference,,
wkj0a,Wakefield Children's Easy Book,,
wkj0f,Wakefield Children's Fiction,,
wkj0h,Wakefield Children's Holiday Book,,
wkj0i,Wakefield Children's Picture Book,,
wkj0l,Wakefield Children's World Languages,,
wkj0n,Wakefield Children's Non-Fiction,,
wkj0t,Wakefield Children's Fairy Tale,,
wkj0v,Wakefield Children's Non-Print Media,,
wkj0y,Wakefield Children's Young Reader,,
wkjr,Wakefield Children's Reference,,
wky,Wakefield Young Adult,,
wky01,Wakefield YA Reference,,
wky0f,Wakefield YA Fiction,,
wky0l,Wakefield YA World Languages,,
wky0n,Wakefield YA Non-Fiction,,
wky0v,Wakefield YA Non-Print Media,,
wkyr,Wakefield Young Adult Reference,,
wkzzz,Wakefield (error code),,
wl,Woodlawn Heights,,
wla,Woodlawn Heights Adult,,
wla01,Woodlawn Heights Reference,,
wla03,Woodlawn Heights Closed Shelf Reference,,
wla0f,Woodlawn Heights Fiction,,
wla0l,Woodlawn Heights World Languages,,
wla0n,Woodlawn Heights Non-Fiction,,
wla0v,Woodlawn Heights Non-Print Media,,
wlar,Woodlawn Heights Adult Reference,,
wlj,Woodlawn Heights Children,,
wlj01,Woodlawn Heights Children's Reference,,
wlj0a,Woodlawn Heights Children's Easy Book,,
wlj0f,Woodlawn Heights Children's Fiction,,
wlj0h,Woodlawn Heights Children's Holiday Book,,
wlj0i,Woodlawn Heights Children's Picture Book,,
wlj0l,Woodlawn Heights Children's World Languages,,
wlj0n,Woodlawn Heights Children's Non-Fiction,,
wlj0t,Woodlawn Heights Children's Fairy Tale,,
wlj0v,Woodlawn Heights Children's Non-Print Media,,
wlj0y,Woodlawn Heights Children's Young Reader,,
wljr,Woodlawn Heights Children's Reference,,
wly,Woodlawn Heights Young Adult,,
wly01,Woodlawn Heights YA Reference,,
wly0f,Woodlawn Heights YA Fiction,,
wly0l,Woodlawn Heights YA World Languages,,
wly0n,Woodlawn Heights YA Non-Fiction,,
wly0v,Woodlawn Heights YA Non-Print Media,,
wlyr,Woodlawn Heights Young Adult Reference,,
wlzzz,Woodlawn Heights,,
wo,Woodstock,,
woa,Woodstock Adult,,
woa01,Woodstock Reference,,
woa03,Woodstock Closed Shelf Reference,,
woa0f,Woodstock Fiction,,
woa0l,Woodstock World Languages,,
woa0n,Woodstock Non-Fiction,,
woa0v,Woodstock Non-Print Media,,
woar,Woodstock Adult Reference,,
woj,Woodstock Children,,
woj01,Woodstock Children's Reference,,
woj0a,Woodstock Children's Easy Book,,
woj0f,Woodstock Children's Fiction,,
woj0h,Woodstock Children's Holiday Book,,
woj0i,Woodstock Children's Picture Book,,
woj0l,Woodstock Children's World Languages,,
woj0n,Woodstock Children's Non-Fiction,,
woj0t,Woodstock Children's Fairy Tale,,
woj0v,Woodstock Children's Non-Print Media,,
woj0y,Woodstock Children's Young Reader,,
wojr,Woodstock Children's Reference,,
woy,Woodstock Young Adult,,
woy01,Woodstock YA Reference,,
woy0f,Woodstock YA Fiction,,
woy0l,Woodstock YA World Languages,,
woy0n,Woodstock YA Non-Fiction,,
woy0v,Woodstock YA Non-Print Media,,
woyr,Woodstock Young Adult Reference,,
wozzz,Woodstock (error code),,
wt,Westchester Square,,
wta,Westchester Square Adult,,
wta01,Westchester Square Reference,,
wta03,Westchester Square Closed Shelf Reference,,
wta0f,Westchester Square Fiction,,
wta0l,Westchester Square World Languages,,
wta0n,Westchester Square Non-Fiction,,
wta0v,Westchester Square Non-Print Media,,
wtar,Westchester Square Adult Reference,,
wtj,Westchester Square Children,,
wtj01,Westchester Square Children's Reference,,
wtj0a,Westchester Square Children's Easy Book,,
wtj0f,Westchester Square Children's Fiction,,
wtj0h,Westchester Square Children's Holiday Book,,
wtj0i,Westchester Square Children's Picture Book,,
wtj0l,Westchester Square Children's World Languages,,
wtj0n,Westchester Square Children's Non-Fiction,,
wtj0t,Westchester Square Children's Fairy Tale,,
wtj0v,Westchester Square Children's Non-Print Media,,
wtj0y,Westchester Square Children's Young Reader,,
wtjr,Westchester Square Children's Reference,,
wty,Westchester Square Young Adult,,
wty01,Westchester Square YA Reference,,
wty0f,Westchester Square YA Fiction,,
wty0l,Westchester Square YA World Languages,,
wty0n,Westchester Square YA Non-Fiction,,
wty0v,Westchester Square YA Non-Print Media,,
wtyr,Westchester Square Young Adult Reference,,
wtzzz,Westchester Square (error code),,
xfill,Inter-Library Loan,,
yv,Yorkville,,
yva,Yorkville Adult,,
yva01,Yorkville Reference,,
yva03,Yorkville Closed Shelf Reference,,
yva0f,Yorkville Fiction,,
yva0l,Yorkville World Languages,,
yva0n,Yorkville Non-Fiction,,
yva0v,Yorkville Non-Print Media,,
yvar,Yorkville Adult Reference,,
yvj,Yorkville Children,,
yvj01,Yorkville Children's Reference,,
yvj0a,Yorkville Children's Easy Book,,
yvj0f,Yorkville Children's Fiction,,
yvj0h,Yorkville Children's Holiday Book,,
yvj0i,Yorkville Children's Picture Book,,
yvj0l,Yorkville Children's World Languages,,
yvj0n,Yorkville Children's Non-Fiction,,
yvj0t,Yorkville Children's Fairy Tale,,
yvj0v,Yorkville Children's Non-Print Media,,
yvj0y,Yorkville Children's Young Reader,,
yvjr,Yorkville Children's Reference,,
yvy,Yorkville Young Adult,,
yvy01,Yorkville YA Reference,,
yvy0f,Yorkville YA Fiction,,
yvy0l,Yorkville YA World Languages,,
yvy0n,Yorkville YA Non-Fiction,,
yvy0v,Yorkville YA Non-Print Media,,
yvyr,Yorkville Young Adult Reference,,
yvzzz,Yorkville (error code),,
zd,DOE - LSC Batch Checkin,,
zk,DOE - Brooklyn Borough,,
zk001,DOE P.S. 001 The Bergen,,
zk002,Parkside Preparatory Academy ,,
zk006,P.S. 006,,
zk007,P.S. 007 Abraham Lincoln ,,
zk008,DOE P.S. 008 Robert Fulton,,
zk009,DOE P.S. 009 Teunis G. Bergen,,
zk010,DOE Magnet School of Math,,
zk012,Ronald Edmonds Learning Center II ,,
zk019,Brooklyn Arbor Elementary School ,,
zk021,DOE P.S. 021 Crispus Attucks,,
zk032,DOE CAMPUS P.S. 032 Samuels Mills Sprole / K442 New Horizons School,,
zk041,DOE P.S. 041 Francis White,,
zk045,P.S. 045 Horace E. Greene ,,
zk051,DOE M.S. 51 William Alexander,,
zk052,P.S. 052 Sheepshead Bay,,
zk054,DOE Samuel C. Barnes,,
zk062,DOE J.H.S. 062 Ditmas,,
zk068,DOE I.S. 068 Isaac Bildersee,,
zk078,DOE J.H.S. 078 Roy H. Mann,,
zk084,P.S. 084 Jose De Diego,,
zk088,J.H.S. 088 Peter Rouget,,
zk089,DOE P.S. 089 Cypress Hills,,
zk090,P.S. 90 Edna Cohen School,,
zk091,P.S. 091 The Albany Avenue School,,
zk096,I.S. 096 Seth Low,,
zk098,DOE I.S. 98 Bay Academy,,
zk100,DOE The Coney Island School,,
zk106,P.S. 106 Edward Everett Hale,,
zk107,DOE P.S. 107 John W. Kimball,,
zk109,P.S. 109,,
zk131,P.S. 131 Brooklyn ,,
zk139,DOE P.S. 139 Alexine A. Fenty,,
zk141,P.S. K141,,
zk142,DOE CAMPUS P.S. 146 / Brooklyn Secondary School for Collaborative Studies,,
zk145,P.S. 145 Andrew Jackson ,,
zk146,P.S. 146,,
zk147,DOE P.S. 147 Isaac Remsen,,
zk151,P.S. 151 Lyndon B. Johnson ,,
zk156,P.S. 156 Waverly,,
zk158,P.S. 158 Warwick ,,
zk159,P.S. 159 Isaac Pitkin ,,
zk163,P.S. I.S. 163 Bath Beach,,
zk164,DOE P.S. 164 Caesar Rodney,,
zk171,IS 171K Abraham Lincoln,,
zk175,TEACHERS PREP HS,,
zk178,PS 178K St Clair McKelway PS/MS,,
zk179,PS 179K Kensington,,
zk187,DOE The Christa McAuliffe School,,
zk188,PS 188K Michael E Berdy,,
zk195,PS 195K Manhattan Beach,,
zk197,PS 197K The Kings Highway Academy,,
zk199,PS 199K Frederick Wachtel,,
zk205,PS 205 Clarion,,
zk206,DOE P.S. 206 Joseph F Lamb,,
zk216,P.S. 216 Arturo Toscanini,,
zk217,DOE P.S. 217 Colonel David Marcus School,,
zk219,PS 219K Kennedy-King,,
zk220,JHS 220K John J Pershing,,
zk225,DOE P.S. 225 The Eileen E. Zaglin,,
zk226,PS 226K Alfred De B Mason,,
zk227,JHS 227K Edward Shallow,,
zk230,DOE P.S. 230 Doris L. Cohen,,
zk234,DOE J.H.S. 234 Arthur W. Cunningham,,
zk239,IS 239K Mark Twain,,
zk240,DOE Andries Hudde,,
zk245,P.S. 245,,
zk246,DOE M.S. 246 Walt Whitman,,
zk247,PS 247K,,
zk251,DOE P.S. 251 Paerdegat,,
zk261,P.S. 261 Philip Livingston,,
zk263,K263,,
zk269,DOE P.S. 269 Nostrand,,
zk274,DOE P.S. 274 Kosciusko,,
zk276,PS 276K Louis Marshall,,
zk278,DOE J.H.S. 278 Marine Park,,
zk289,PS 289K George V Brower,,
zk291,JHS 291K Roland Hayes,,
zk293,DOE CAMPUS Brooklyn School for Global Studies/International Studies,,
zk295,DOE P.S. K295,,
zk299,DOE P.S. 299 Thomas Warren Field,,
zk302,JHS 302K Rafael Cordero,,
zk303,DOE I.S. 303 Herbert S. Eisenberg,,
zk315,DOE P.S. 315,,
zk316,PS 316K Elijah Stroud,,
zk320,K320,,
zk321,DOE P.S. 321 William Penn,,
zk323,P.S./I.S. 323,,
zk335,DOE Granville T. Woods,,
zk337,International High School at Lafayette ,,
zk347,DOE I.S. 347 School of Humanities,,
zk348,High School of Sports Management ,,
zk349,I.S. 349 Math,,
zk352,Ebbets Field Middle School ,,
zk356,K356,,
zk362,DOE Hellenic Classical Charter School,,
zk364,IS 364K Gateway,,
zk372,P.S. 372 -The Children's School,,
zk375,P.S. 375 Jackie Robinson School ,,
zk376,PS 376K,,
zk382,Academy for College Preparation and Career Exploration: A College Board School,,
zk392,I.S. 392,,
zk395,K395,,
zk399,DOE Stanley Eugene Clark,,
zk400,K400,,
zk408,Academy of Hospitality and Tourism ,,
zk410,DOE Abraham Lincoln High School,,
zk414,Brooklyn Arbor Elementary School ,,
zk420,K420,,
zk425,James Madison High School,,
zk429,Brooklyn School for Global Studies,,
zk430,DOE Brooklyn Technical High School,,
zk435,DOE CAMPUS Thomas Jefferson Educational Campus ,,
zk442,M.S. 442 Carroll Gardens School for Innovation,,
zk448,Brooklyn Secondary School for Collaborative Studies ,,
zk450,K450,,
zk460,K460,,
zk462,Secondary School for Law,,
zk463,Secondary School for Journalism,,
zk464,Park Slope Collegiate,,
zk465,K465,,
zk468,Kingsborough Early College School,,
zk474,PROGRESS High School for Professional Careers,,
zk477,School for Legal Studies,,
zk478,The High School for Enterprise,,
zk480,DOE CAMPUS Bushwick Educational Campus ,,
zk484,Ronald Edmonds Learning Center II,,
zk485,HS of Telecommunication,,
zk487,PS 8K Annex @ George Westinghouse Campus,,
zk490,DOE Fort Hamilton H. S.,,
zk493,DOE Brooklyn Collegiate: A College Board School,,
zk498,Brooklyn High School for Law and Technology,,
zk499,ACORN Community High School,,
zk502,FDNY High School for Fire and Life Safety,,
zk504,High School for Civil Rights,,
zk507,Performing Arts and Technology High School,,
zk510,World Academy for Total Community Health High School,,
zk514,Frederick Douglass Academy VII High School,,
zk519,Cobble Hill School of American Studies,,
zk537,High School for Youth and Community Development at Erasmus ,,
zk539,High School for Service & Learning at Erasmus ,,
zk543,Science,,
zk545,EBC High School for Public ServiceBushwick,,
zk556,Bushwick Leaders High School for Academic Excellence,,
zk559,Life Academy High School for Film and Music,,
zk564,Bushwick Community High School,,
zk572,Expeditionary Learning School for Community Leaders,,
zk582,M.S. 582,,
zk583,Multicultural High School,,
zk590,DOE Medgar Evers College Preparatory School,,
zk596,DOE M.S. 596 Peace Academy,,
zk605,DOE George Westinghouse Career and Technical Education High School,,
zk615,Transit Tech Career And Technical Education HS,,
zk618,Academy of Innovative Technology,,
zk639,Brooklyn Lab School,,
zk646,DOE Aspirations Diploma Plus High School ,,
zk659,Cypress Hills Collegiate Preparatory School,,
zk667,DOE Sunset Park High School,,
zk684,Millennium Brooklyn HS,,
zk697,Teachers Preparatory High School,,
zk735,K735,,
zk748,P.S. 748 Brooklyn School for Global Scholars,,
zk782,DOE Bedford Stuyvesant New Beginnings Charter School,,
zk804,Cobble Hill School of American Studies,,
zk807,K807,,
zk821,DOE Sunset Park Prep,,
zk834,K834,,
zk865,Bushwick Leaders High School for Academic Excellence ,,
zk909,ACORN Community High School ,,
zk913,EBC High School for Public ServiceBushwick ,,
zk987,Brooklyn High School for Law and Technology ,,
zk994,Passages Academy - Brooklyn Pride,,
zk995,Passages Academy - SCO Shepherd,,
zk996,Passages Academy - Boy's Town,,
zk997,DOE Passages Academy - Crossroads,,
zk998,DOE Passages Academy - Belmont,,
zk999,Passages Academy - St Vincents' Svs,,
zm,DOE - Manhattan Borough,,
zm001,DOE P.S. 001 Alfred E. Smith - Sub for Eastside Comm. M540,,
zm002,DOE P.S. 002 Meyer London,,
zm003,DOE P.S. 003 Charrette School,,
zm004,DOE P.S. 004 Duke Ellington,,
zm005,P.S. 005 Ellen Lurie,,
zm006,DOE P.S. 006 Lillie D. Blake ,,
zm007,DOE P.S. 007 Samuel Stern,,
zm012,DOE Tag Young Scholars,,
zm019,PS 19 Asher Levy,,
zm020,DOE P.S. 020 Anna Silver,,
zm025,M025,,
zm028,DOE P.S. 028 Wright Brothers ,,
zm030,DOE P.S. 030 Hernandez/Hughes ,,
zm033,DOE P.S. 033 Chelsea Prep ,,
zm040,DOE CAMPUS P.S. 040 Augustus Saint-Gaudens ,,
zm041,DOE P.S. 041 Greenwich Village ,,
zm042,DOE P.S. 042 Benjamin Altman ,,
zm047,DOE CAMPUS The American Sign Language & English Lower School / A.S.L.E. Secondary School,,
zm048,DOE P.S. P.O. Michael J. Buczek,,
zm050,DOE Vito Marcantonio,,
zm051,DOE P.S. 051 Elias Howe ,,
zm054,DOE J.H.S. Booker T. Washington,,
zm057,DOE James Weldon Johnson,,
zm059,P.S. 059 Beekman Hill International,,
zm063,DOE P.S. 063 William McKinley,,
zm070,DOE CAMPUS NYC Lab School for Collaborative Studies / NYC Museum School,,
zm072,The Lexington Academy ,,
zm075,DOE P.S. Emily Dickinson,,
zm076,DOE P.S. 076 Philip Randolph,,
zm087,DOE P.S. 087 William Sherman ,,
zm089,PS 89M/ IS 289M,,
zm096,DOE P.S. 096 Joseph Lanzetta ,,
zm098,DOE P.S. 098 Shorac Kappock,,
zm104,DOE J.H.S. 104 Simon Baruch ,,
zm108,DOE P.S. 108 Assemblyman Angelo Del Toro Educational Complex,,
zm111,PS/IS 111M Adolph S Ochs School,,
zm112,DOE P.S. 112 Jose Celso Barbosa,,
zm113,STEM Institute of Manhattan ,,
zm115,DOE Alexander Humboldt,,
zm116,DOE P.S. 116 Mary Lindley Murray,,
zm123,DOE Mahalia Jackson,,
zm125,DOE Ralph Bunche,,
zm126,DOE P.S. 126 Jacob August Riis ,,
zm128,DOE P.S. 128 Audubon ,,
zm129,DOE John H. Finley,,
zm130,PS 130M Hernando De Soto,,
zm140,DOE P.S. 140 Nathan Straus ,,
zm142,DOE P.S. 142 Amalia Castro ,,
zm143,DOE J.H.S. 143 Eleanor Roosevelt ,,
zm145,DOE P.S. 145 The Bloomingdale School ,,
zm146,DOE P.S. 146 Ann M. Short ,,
zm149,DOE P.S. 149 Sojourner Truth ,,
zm151,DOE Yorkville Community School,,
zm154,DOE P.S. 154 Harriet Tubman ,,
zm155,DOE P.S. William Paca,,
zm158,DOE P.S. 158 Bayard Taylor ,,
zm161,DOE P.S. 161 Pedro Albizu Campos ,,
zm167,DOE J.H.S. 167 Robert F. Wagner ,,
zm169,DOE P.S. 169 Robert F. Kennedy ,,
zm171,DOE CAMPUS P.S. 171 Patrick Henry / Central Park East II,,
zm175,DOE P.S. 175 Henry H. Garnet,,
zm176,DOE CAMPUS Amistad Dual Language School / M314 Muscota,,
zm180,DOE P.S. 180 - Hugo Newman,,
zm184,DOE P.S. 184 Shuang Wen ,,
zm187,DOE P.S. / I.S. 187 Hudson Cliffs ,,
zm188,DOE CAMPUS P.S. 188 The Island School / Girls Prep Charter School of NY,,
zm189,DOE P.S. 189 ,,
zm192,DOE CAMPUS P.S. 192 Jacob H. Schiff  / P.S. 325,,
zm197,DOE P.S. 197 John B. Russwurm ,,
zm199,PS 199 Jessie Isador Straus,,
zm200,DOE P.S. 200 The James Mccune Smith School ,,
zm208,DOE P.S. 208 Alain L. Locke,,
zm210,DOE P.S. / I.S. 210 - Twenty-first Century Academy for Community Leadership ,,
zm212,DOE P.S. 212 Midtown West ,,
zm241,STEM Institute of Manhattan,,
zm276,DOE Battery Park City School,,
zm282,M282,,
zm283,Manhattan Theatre Lab High School,,
zm288,Food and Finance High School,,
zm289,DOE I.S. 289,,
zm294,Essex Street Academy,,
zm296,High School of Hospitality Management,,
zm299,High School for Arts,,
zm300,Urban Assembly School of Design and Construction,,
zm301,Technology,,
zm303,The Facing History School,,
zm305,The Urban Assembly Academy of Government and Law,,
zm307,Urban Assembly School for Media Studies,,
zm308,Lower Manhattan Arts Academy,,
zm312,New York City Lab Middle School for Collaborative Studies,,
zm313,James Baldwin School,,
zm325,DOE P.S. 325,,
zm330,Girls Preparatory Charter School of New York,,
zm334,DOE The Anderson School ,,
zm347,DOE - The American Sign Lanugage Lower English School,,
zm363,DOE P.S. William McKinley/Neighborhood School,,
zm366,DOE Washington Heights Academy ,,
zm375,DOE Mosaic Preparatory Academy ,,
zm392,MANHATTAN BUSINESS ACADEMY ,,
zm400,DOE High School for Environmental Studies ,,
zm408,DOE Professional Performing Arts High School ,,
zm412,N.Y.C. Lab School for Collaborative Studies,,
zm414,N.Y.C. Museum School,,
zm416,DOE Eleanor Roosevelt High School ,,
zm419,Landmark High School,,
zm420,DOE High School for Health Professions and Human Services ,,
zm422,Quest to Learn,,
zm429,Legacy School for Integrated Studies,,
zm435,DOE Manhattan Center for Science and Mathematics ,,
zm437,Hudson High School of Learning Technologies,,
zm439,DOE Manhattan Village Academy ,,
zm440,DOE CAMPUS Humanities Campus,,
zm445,DOE CAMPUS Seward Park Educational Campus ,,
zm450,DOE East Side Community School ,,
zm462,The College Academy,,
zm463,High School for Media and Communications,,
zm465,DOE CAMPUS George Washington Campus,,
zm467,High School for Law and Public Service,,
zm468,High School for Health Careers and Sciences,,
zm475,DOE Stuyvesant High School,,
zm479,DOE Beacon High School ,,
zm485,DOE Fiorello H. LaGuardia High School of Music & Art and Performing Arts ,,
zm488,M488,,
zm489,DOE High School of Economics and Finance ,,
zm490,DOE CAMPUS Marting Luther King Jr. Educational Campus ,,
zm492,High School for Law,,
zm494,High School of Arts and Technology,,
zm495,Park East High School,,
zm505,DOE Edward A. Reynolds West Side High School ,,
zm509,DOE Marta Valle High School ,,
zm515,DOE Lower East Side Preparatory High School ,,
zm528,DOE I.S. 528 Bea Fuller Rodgers School ,,
zm529,DOE Jacqueline Kennedy Onassis High School ,,
zm535,DOE CAMPUS West 50th Street Campus ,,
zm539,DOE New Explorations into Science,,
zm540,DOE A. Philip Randolph Campus High School ,,
zm541,Manhattan / Hunter Science High School,,
zm542,Manhattan Bridges High School,,
zm543,New Design High School,,
zm545,High School for Dual Language and Asian Studies,,
zm551,DOE Urban Assembly New York Harbor School ,,
zm552,DOE Gregorio Luperon High School for Science and Mathematics ,,
zm560,High School M560 - City As School,,
zm575,DOE Manhattan Comprehensive Night and Day High School,,
zm580,Richard R. Green High School of Teaching,,
zm600,DOE The High School of Fashion Industries ,,
zm605,Humanities Preparatory Academy,,
zm610,DOE Young Women's Leadership School ,,
zm620,DOE Norman Thomas High School - Sub for Eastside Comm. M540,,
zm630,DOE Art and Design High School ,,
zm641,M641,,
zm655,DOE Life Sciences Secondary School ,,
zm670,DOE Thurgood Marshall Academy for Learning and Social Change,,
zm680,DOE The Heritage School,,
zm694,M694,,
zm696,DOE Bard High School Early College ,,
zm883,Legacy School for Integrated Studies ,,
zm896,DOE Lower Manhattan Community Middle School ,,
zm964,Central Park East II,,
zq,DOE - Queens Borough,,
zq002,DOE Alfred Zimberg,,
zq005,DOE I.S. 005 The Walter Crowley Intermediate School ,,
zq008,J.H.S. 008 Richard S. Grossley,,
zq009,DOE P.S. 009 ,,
zq010,DOE I.S. 010 Horace Greeley ,,
zq014,P.S. 014 Fairview,,
zq016,DOE P.S. Q016 The Nancy DeBenedittis School ,,
zq019,DOE P.S. 019 Marino Jeantet ,,
zq024,DOE P.S. 024 Andrew Jackson ,,
zq025,World Journalism Preparatory: A College Board School ,,
zq040,P.S. 040 Samuel Huntington ,,
zq042,DOE P.S. / M.S. 042 R. Vernam,,
zq043,DOE P.S. 043 ,,
zq061,I.S. 061 Leonardo Da Vinci,,
zq062,DOE Chester Park,,
zq067,J.H.S. 067 Louis Pasteur,,
zq072,Catherine & Count Basie Middle School 72,,
zq073,DOE The Frank Sansivieri Intermediate School,,
zq077,IS 077,,
zq085,DOE Judge Charles Vallone,,
zq089,P.S. 089 Elmhurst,,
zq091,P.S. 091 Richard Arkwright,,
zq092,DOE P.S. 092 Harry T. Stewart Sr. ,,
zq105,DOE P.S. 105 The Bay School ,,
zq109,Jean Nuzzi Intermediate School,,
zq111,DOE P.S. 111 Jacob Blackwell ,,
zq113,P.S./I.S. 113 Anthony J. Pranzo,,
zq114,DOE P.S. 111 Jacob Blackwell ,,
zq117,DOE J. Keld / Briarwood School,,
zq122,P.S. 122 Mamie Fay,,
zq125,I.S. 125 Thom J. McCann Woodside,,
zq127,P.S. 127 Aerospace Science Magne,,
zq134,P.S. 134 Hollis,,
zq137,DOE M.S. 137 America's School of Heroes ,,
zq140,DOE Edward K. Ellington,,
zq144,DOE P.S. 144 Col Jeromus Remsen ,,
zq148,P.S. 148 Queens,,
zq150,P.S. 150 Queens,,
zq153,DOE Maspeth Elementary,,
zq156,P.S. 156 Laurelton,,
zq157,DOE Stephen A. Halsey,,
zq158,M.S. 158 Marie Curie,,
zq161,DOE Arthur Ashe School,,
zq169,P.S. 169 Bay Terrace,,
zq172,Irwin Altman Middle School 172,,
zq174,DOE P.S. 174 William Sidney Mount ,,
zq175,P.S. 175 The Lynn Gross Discovery School,,
zq176,P.S. 176 Cambria Heights,,
zq178,P.S./ IS 178 Holliswood,,
zq182,DOE P.S. 182 Samantha Smith ,,
zq183,P.S. 183 Dr. Richard R. Green,,
zq190,DOE J.H.S. Russell Sage,,
zq192,DOE The Linden,,
zq196,P.S. 196 Grand Central Parkway,,
zq203,P.S. 203 Oakland Gardens,,
zq204,I.S. 204 Oliver W. Holmes,,
zq210,DOE J.H.S. 210 Elizabeth Blackwell ,,
zq226,J.H.S. 226 Virgil I. Grissom,,
zq227,I.S. 227 Louis Armstrong,,
zq230,DOE I.S. 230 ,,
zq231,DOE CAMPUS Community Campus Middle School ,,
zq238,I.S. 238 - Susan B. Anthony Academy,,
zq239,DOE P.S. 239 ,,
zq240,Veritas Academy Flushing HS,,
zq241,Queens High School for Language Studies Flushing HS,,
zq242,P.S. 242 Leonard P. Stavisky Early Childhood School,,
zq243,Institute for Health Professions at Cambria Heights,,
zq245,Learners and Leaders ,,
zq248,Queens Preparatory Academy,,
zq251,P.S. 251 Queens,,
zq253,P.S. 253,,
zq259,Pathways College Preparatory School: A College Board School,,
zq262,Beach Channel HS,,
zq263,Q263,,
zq264,Academy of Finance and Enterprise,,
zq270,DOE The Gordon Parks School ,,
zq273,P.S. 273,,
zq280,DOE P.S. 280 ,,
zq282,Knowledge and Power Preparatory Academy VI,,
zq285,World Journalism Preparatory: A College Board School,,
zq295,P.S. I.S. 295,,
zq299,DOE Bard High School Early College II ,,
zq305,Learners and Leaders,,
zq323,DOE Scholars Academy,,
zq324,Beach Channel HS,,
zq351,Rockaway Collegiate High School,,
zq355,Collaborative Arts Middle School,,
zq356,Community Voices Middle School,,
zq410,Beach Channel High School,,
zq420,Q420,,
zq425,John Bowne High School,,
zq430,Francis Lewis High School,,
zq440,DOE Forest Hills High School ,,
zq445,William Cullen Bryant High School,,
zq450,DOE CAMPUS Newcomers High School/Academy of American Studies,,
zq451,Academy of American Studies ,,
zq455,Newtown High School,,
zq460,Flushing High School,,
zq465,DOE CAMPUS Far Rockaway Campus  ,,
zq480,John Adams High School,,
zq485,Grover Cleveland High School,,
zq492,DOE Mathematics,,
zq495,DOE Bayside High School ,,
zq501,DOE Frank Sinatra School of the Arts High School ,,
zq505,DOE Hillcrest High School ,,
zq555,Newcomers High School,,
zq575,Academy of American Studies,,
zq670,Robert F. Kennedy Community High School,,
zq680,Queens Gateway to Health Sciences Secondary School,,
zq686,DOE Queens Metropolitan H.S.,,
zq690,DOE High School for Law Enforcement and Public Safety ,,
zq695,Q695,,
zq707,Robert F. Kennedy Community High School ,,
zq735,Academy of Finance and Enterprise ,,
zq752,DOE Queens Transition Center ,,
zq849,Q849,,
zr,DOE - Staten Island Borough,,
zr002,DOE I.S. 002 George L. Egbert,,
zr003,DOE P.S. 003 The Margaret Gioiosa School ,,
zr004,DOE P.S. 004 Maurice Wollin ,,
zr006,DOE P.S. 006 Corporal Allan F. Kivlehan School ,,
zr007,DOE I.S. 007 Elias Bernstein ,,
zr016,DOE P.S. 016 John J. Driscoll ,,
zr018,DOE P.S. 018 John G. Whittier ,,
zr021,DOE P.S. 21 Margaret Emery-Elm Park ,,
zr022,P.S. 22 Graniteville,,
zr024,DOE I.S. 024 Myra S. Barnes ,,
zr026,DOE P.S. 026 The Carteret School ,,
zr029,DOE P.S. 029 Bardwell ,,
zr031,DOE P.S. 031 William T. Davis ,,
zr036,DOE P.S. 036 J. C. Drumgoole ,,
zr038,DOE P.S. 038 George Cromwell ,,
zr041,DOE P.S. 041 New Dorp,,
zr042,DOE P.S. 042 Eltingville ,,
zr043,DOE CAMPUS College of Staten Island High School Campus ,,
zr044,DOE P.S. 044 Thomas C. Brown ,,
zr045,DOE P.S. 045 John Tyler ,,
zr047,CSI High School for International Studies,,
zr048,P.S. 048 William C. Wilcox,,
zr049,DOE I.S. 49 Berta A. Dreyfus ,,
zr050,DOE P.S. 050 Frank Hankinson ,,
zr051,DOE I.S. 051 Edwin Markham ,,
zr052,DOE P.S. 052 John C. Thompson ,,
zr053,DOE P.S. 053 Bay Terrace ,,
zr054,DOE P.S. 054 Charles W. Leng ,,
zr055,DOE P.S. 055 Henry M. Boehm ,,
zr057,DOE P.S. 057 Hubert H. Humphrey ,,
zr058,DOE Space Shuttle Columbia School ,,
zr060,DOE P.S. 060 Alice Austen ,,
zr063,Marsh Avenue School for Expeditionary Learning,,
